Genre,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
femmes,21.8,21.9,21.8,21.2,22.5,14.2,16.9,21.3,21.8,22.3
hommes,20.7,20.6,20.7,19.7,20.4,13.3,15.8,18.6,19.1,19.5
total,42.4,42.5,42.6,41.0,43.0,27.6,32.7,39.9,40.9,41.8

Âge,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
3 - 10 ans,4.8,4.9,5.0,4.5,5.0,3.0,4.0,4.3,4.4,4.5
11 - 14 ans,2.7,2.7,2.8,2.8,2.8,2.1,2.4,2.6,2.6,2.8
15 - 19 ans,3.4,3.4,3.5,3.4,3.5,2.3,3.0,3.4,3.6,3.5
20 - 24 ans,3.1,2.8,3.0,2.9,2.9,1.9,2.8,2.9,3.2,3.2
25 - 34 ans,6.0,5.7,6.0,5.3,5.4,3.4,4.1,5.0,5.5,5.1
35 - 49 ans,9.2,9.2,9.3,8.7,9.5,5.5,6.6,8.0,8.1,8.6
50 - 59 ans,5.4,5.3,5.2,5.4,5.4,3.5,3.8,5.3,4.7,5.4
60 ans et plus,7.8,8.6,7.9,8.1,8.4,5.8,6.1,8.3,8.9,8.8
total,42.4,42.5,42.6,41.0,43.0,27.6,32.7,39.9,40.9,41.8

Catégorie,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
CSP +,10.9,11.0,11.3,11.0,11.6,7.5,9.1,10.9,11.4,11.6
Chefs d'entreprises / cadres,4.2,4.0,4.1,4.1,4.3,2.9,3.8,4.4,4.5,4.6
Professions intermédiaires,5.7,5.7,6.1,5.7,6.0,3.8,4.4,5.5,5.6,6.1
Artisans / commerçants,1.1,1.3,1.1,1.3,1.3,0.7,0.9,1.0,1.0,1.0
CSP -,9.8,10.3,10.1,9.5,9.5,5.9,6.5,8.3,8.6,9.4
Employés,5.9,6.2,6.0,5.7,5.9,3.6,4.0,5.2,5.3,5.7
Ouvriers,3.7,4.0,3.8,3.5,3.4,2.2,2.3,3.1,3.1,3.5
Agriculteurs,0.2,0.2,0.4,0.3,0.2,0.1,0.2,0.1,0.2,0.3
Inactifs,21.7,21.1,21.1,20.5,22.0,14.2,17.1,20.7,21.2,20.8
Retraités,6.0,7.1,6.9,7.0,7.2,4.9,5.1,7.2,7.5,6.6
Élèves / étudiants,12.8,11.6,11.7,11.3,11.7,7.7,10.1,10.8,11.2,11.7
Autres inactifs (chômeurs…),2.9,2.4,2.5,2.2,3.0,1.6,1.9,2.8,2.4,2.5
Total,42.4,42.5,42.6,41.0,43.0,27.6,32.7,39.9,40.9,41.8

Habitat,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Zones rurales,8.4,8.8,9.2,8.7,9.5,5.6,6.5,7.7,7.9,8.5
Agglo <20k hab.,7.5,7.7,7.2,7.3,7.5,4.5,5.3,7.2,7.2,7.1
Agglo 20-50k hab.,2.5,2.6,2.7,2.5,2.6,1.7,1.9,2.2,2.4,2.5
Agglo 50-100k hab.,2.8,3.1,3.0,2.8,2.8,1.7,2.4,2.9,3.1,3.1
Agglo >100k hab.,13.5,12.8,12.8,12.4,12.6,8.4,10.5,12.4,12.9,13.0
Agglomération parisienne,7.7,7.5,7.7,7.4,7.9,5.6,6.0,7.5,7.4,7.7
Total,42.4,42.5,42.6,41.0,43.0,27.6,32.7,39.9,40.9,41.8
