Genre,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Femmes,68.5266713260485,67.7204143662953,67.2335849358605,65.506538542361,69.3059366200548,43.5742442300429,51.2565442420832,64.5288056673391,65.729862504525,67.02536550827651
Hommes,69.39932491859851,67.811000441896,68.2074345972256,65.1013623897317,67.3245222159037,43.6570722765722,51.5458497007465,60.3865217736368,61.5114480104806,62.56449509831919
Total,68.94904016769021,67.76423971862287,67.70453863090516,65.31083846064104,68.3497060221938,43.61422532810259,51.396307709163445,62.52601143172799,63.68793896868282,64.86608118817637

Âge,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
3-10 ans,76.1,78.3,79.1,72.2,81.6,49.5,66.0,72.0,74.3,75.1
11-14 ans,84.8,86.2,85.8,86.5,88.2,64.3,72.2,80.2,78.9,84.5
15-19 ans,90.2,88.4,86.2,85.0,87.3,58.2,73.9,83.5,86.7,84.8
20-24 ans,88.6,77.8,83.0,80.8,78.5,52.4,72.3,74.7,82.9,82.4
25-34 ans,79.0,72.4,77.3,69.0,72.2,45.2,54.6,67.2,72.5,67.2
35-49 ans,73.8,72.3,73.6,69.9,76.7,44.2,53.4,65.4,65.9,69.7
50-59 ans,64.0,61.6,61.1,63.2,64.1,40.6,44.6,61.7,54.1,61.6
60 ans et plus,48.0,51.1,46.8,47.1,48.1,33.0,33.7,45.5,47.9,47.5
Total,68.9,67.8,67.7,65.3,68.3,43.6,51.4,62.5,63.7,64.9

Catégorie,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
CSP +,81.5,78.8,79.5,77.8,80.4,50.6,59.7,71.1,72.4,75.7
Chefs d'entreprises / cadres,85.7,84.5,82.1,81.9,83.5,53.5,65.1,75.8,73.2,77.0
Professions intermédiaires,80.7,76.7,82.6,77.7,81.0,51.8,58.4,72.8,74.5,77.4
Artisans / commerçants,71.4,72.3,60.3,67.5,68.9,37.8,48.5,50.2,59.7,62.5
CSP -,65.8,65.5,66.5,62.2,65.2,41.3,47.2,60.6,62.2,61.9
Employés,72.5,71.8,72.3,68.5,71.0,44.0,51.1,66.4,67.5,67.3
Ouvriers,59.6,58.4,58.6,54.2,57.9,38.4,41.6,54.9,55.2,56.8
Agriculteurs,32.6,50.0,72.1,60.0,53.3,27.1,48.9,24.8,56.4,41.0
Inactifs,65.3,64.2,63.2,61.4,64.6,41.6,49.4,59.5,60.5,61.3
Retraités,47.1,49.4,46.5,47.0,48.0,32.4,32.8,46.0,48.1,45.2
Élèves / étudiants,83.2,83.4,83.4,80.3,85.4,55.8,73.3,77.7,80.1,80.5
Autres inactifs (chômeurs…),56.7,52.4,55.5,50.1,57.6,30.6,36.2,51.8,45.4,52.2
Total,68.9,67.8,67.7,65.3,68.3,43.6,51.4,62.5,63.7,64.9

Habitat,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Zones rurales,60.1,62.1,64.5,61.4,67.6,39.4,42.2,56.5,57.9,61.7
Agglo <20k hab.,69.9,69.7,65.5,66.4,68.5,41.0,46.3,62.2,61.3,60.2
Agglo 20-50k hab.,65.0,66.8,68.3,61.4,66.3,42.2,50.3,54.8,60.3,63.2
Agglo 50-100k hab.,63.1,68.2,68.0,63.5,62.4,38.4,52.2,59.7,62.8,62.2
Agglo >100k hab.,73.6,68.6,67.9,65.9,66.8,44.4,56.9,64.3,66.6,66.7
Agglomération parisienne,75.7,72.2,73.6,70.7,75.3,53.3,61.6,71.7,70.2,72.6
Total,68.9,67.8,67.7,65.3,68.3,43.6,51.4,62.5,63.7,64.9
