Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"Retour au menu ""Public des salles de cinéma""",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Fréquentation cinématographique selon la catégorie professionnelle et le genre,,,,,,,,,,,,,,,,,,,,
(3 ans et plus),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Population (%),2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,,2024,
,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes
CSP +,25.061465672196864,18.744186046511558,25.11154077660202,19.62992976497931,25.64256448055311,19.777853983574552,25.642563752871066,19.77785763393095,25.925003964770404,20.348352375399635,26.194426011944174,20.804603516965518,26.51622021953049,21.549810065593167,23.326001937138223,20.139227907282663,22.94287503012618,19.87090388217804,22.362867836604238,20.42648469353952
CSP -,24.528418834321613,24.08720930232549,25.964339253989664,24.525976172937895,24.65957530140382,23.829789212191002,24.6595737361692,23.829793562653773,23.66065791678153,22.853717110370084,22.986479761114868,22.266643527967073,22.05467688375195,21.059340699947196,25.244894905623276,22.469917502862778,25.628020083828275,22.738237956510037,27.6835401827015,24.284962117773933
inactifs,50.41011549348151,57.16860465116296,48.92411996940831,55.844094062082796,49.69786021804307,56.392356804234446,49.69786251095973,56.39234880341528,50.414338118448065,56.79793051423027,50.81909422694096,56.92875295506742,51.42910289671756,57.39084923445964,51.4291031572385,57.390854589854555,51.42910488604555,57.39085816131192,49.95359198069427,55.28855318868655
total,99.99999999999999,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Taux de pénétration (%),2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,,2024,
,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes
CSP +,80.35668269330733,82.82236671351902,77.43202572179491,80.47588588435985,78.886996707378,80.255690133042,75.0499987966301,81.1915690684466,78.2979295013525,82.79495481362129,49.9547165448216,51.3936947465197,59.1307075198136,60.309787711031504,70.0772633920534,77.04832196341341,72.7849865000156,75.1575545307435,75.046564402172,79.5095973933154
CSP -,62.37992283927578,69.01679549616081,62.08637220412655,68.82741466060632,64.48909591894841,68.41927123015749,59.4171295437818,64.8668703233249,60.0163178114831,70.17535301857791,41.399533279739295,41.1649208190104,44.0964032590684,50.149914363985005,57.2189676692476,61.7737873093976,57.8768818697521,66.1673971079061,57.61774348686009,66.636495417901
inactifs,67.3673396601247,63.632955637450095,65.9108624523185,62.7505195632391,64.54211165170281,62.165452199262404,62.788631448951605,60.275808746926394,65.1114870527471,64.1235525233294,41.432115218725905,41.658990223603595,50.8297838167239,48.263196279937596,57.546073888639306,61.2141946877111,58.293413183141794,62.292284912373994,59.7180277368795,62.5838443988571
total,69.39932491859842,68.52667132604802,67.81100044189566,67.72041436629512,68.20743459722539,67.23358493586075,65.10136238973209,65.50653854236096,67.32452221590367,69.3059366200545,43.65707227657207,43.574244230042886,51.545849700746075,51.256544242083415,60.386521773636936,64.52880566733906,61.51144801048032,65.72986250452509,62.56449509831922,67.02536550827682
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Nombre de spectateurs (millions),2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,,2024,
,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes
CSP +,5997822.442662602,4929180.579906016,5894459.81483512,5109640.495716116,6152047.729294166,5154751.823652148,5831471.336315282,5208343.330465513,6156707.587249057,5478373.556800491,3992849.584883092,3496487.8922745213,4819546.25823497,4274469.292432547,5047335.127330942,5118286.126324333,5191140.739018311,4948582.484717999,5240514.28033869,5405628.26454738
CSP -,4557005.213336772,5278393.739230731,4886789.011751133,5460011.933124049,4836427.687504123,5294822.501080866,4439798.334522385,5013634.253722402,4307007.035580602,5215067.962151531,2903791.8144629938,2997400.567363998,2989408.928024342,3473488.9483717163,4460240.589401624,4578511.038341401,4610981.068023858,4985301.2653700905,4980735.384896582,5386201.148166953
inactifs,10114216.103547627,11550484.298102709,9775298.91550087,11334448.91026348,9755143.852462076,11384713.437949825,9455505.230078835,11024849.104753641,9956142.453324402,11843187.527451757,6424829.2581140725,7755381.274621755,8035421.665499716,9109817.70144742,9138382.884485109,11588130.873142743,9319693.04095596,11845885.498301882,9315105.432092631,11516763.596569056
total,20669043.759547003,21758058.617239453,20556547.742087126,21904101.339103647,20743619.269260366,21834287.76268284,19726774.900916502,21246826.688941557,20419857.07615406,22536629.04640378,13321470.657460157,14249269.734260274,15844376.851759028,16857775.942251682,18645958.601217672,21284928.037808478,19121814.847998127,21779769.24838997,19536355.097327903,22308593.009283386
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Structure du public (%),2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,,2024,
,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes
CSP +,29.018383784166197,22.654505471368218,28.674366380921555,23.327323119137887,29.65754263727153,23.60851830698218,29.561199768363316,24.51351162560349,30.150590987430313,24.308753298997427,29.973038920046385,24.538014631498836,30.418023399259837,25.356068956398815,27.06932496890413,24.046527745983955,27.14774084093683,22.72100511388023,26.82442172161103,24.23114833955646
CSP -,22.04748930986175,24.259488551283372,23.772420705379457,24.926893135655487,23.315254800646805,24.25003535095974,22.506458135313913,23.597096767075687,21.092248684787545,23.14040822792755,21.79783215479172,21.035467945119947,18.86731776196336,20.60466908725425,23.920682678713813,21.510577955483708,24.11372092386191,22.88959634289339,25.494701340568,24.1440647822369
inactifs,48.93412690597205,53.086005977348414,47.55321291369897,51.74578374520662,47.02720256208166,52.141446342058074,47.93234209632277,51.889391607320825,48.75716032778214,52.55083847307501,48.22912892516191,54.42651742338121,50.714658838776806,54.03926195634694,49.00999235238208,54.44289429853234,48.73853823520127,54.389398543226385,47.68087693782097,51.62478687820665
total,100,100,99.99999999999999,100,100,100,100,100,100,100,100.00000000000001,100,100,100,100.00000000000003,100,100,99.9999999999999,100,100
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Nombre d'entrées (millions),2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,,2024,
,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes
CSP +,nd,nd,27929911.317995492,32158254.525096163,26883579.928557977,24675061.939347006,35789956.93829556,28967055.181791253,36750897.24931762,24535327.692241766,10640724.83054375,8794687.191897748,13665235.696391074,10478803.955453401,24577234.311681997,19099975.350120455,20279653.512195636,19744752.242535245,20943706.892294027,19836760.28911014
