Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"Retour au menu ""Public des salles de cinéma""",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Population cinématographique ,,,,,,,,,,
(3 ans et plus),,,,,,,,,,
,,,,,,,,,,
Population cinématographique,,,,,,,,,,
,,,,,,,,,,
,2015,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
millions d'individus,42427102.37678624,42460649.0811908,42577907.031943224,40973601.58985821,42956486.12255796,27570740.391720366,32702152.79401069,39930886.639026165,40901584.09638803,41844948.10661138
en % de la population totale,68.9490401676898,67.7642397186228,67.70453863090499,65.31083846064139,68.3497060221939,43.6142253281022,51.396307709162905,62.526011431728,63.6879389686828,64.86608118817661
,,,,,,,,,,
,,,,,,,,,,
Nombre de spectateurs selon le rythme de fréquentation (millions),,,,,,,,,,
,,,,,,,,,,
,2015,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
habitués,16182239.290869374,14965879.814753668,14901280.132726315,12722273.896988794,13230239.877291346,12946377.777757552,8689316.487639977,11242751.85766012,10602511.34873289,11672728.86806217
dont : assidus,2109297.6348981564,1793520.580880426,1611452.0776233675,1283426.4959638978,1616202.5656617212,1835021.5429018168,983524.6813617175,1564672.7417841814,1496328.7937588065,1393778.5019854752
          réguliers,14072941.655971218,13172359.233873243,13289828.055102948,11438847.401024897,11614037.311629625,11111356.234855734,7705791.806278259,9678079.115875939,9106182.554974085,10278950.366076695
occasionnels,26244863.085916985,27494769.266437124,27676626.899216905,28251327.692869276,29726246.24526658,14624362.613962857,24012836.30637079,28688134.781366054,30299072.74765512,30172219.23854917
total,42427102.37678636,42460649.081190795,42577907.03194322,40973601.58985807,42956486.12255792,27570740.391720407,32702152.794010766,39930886.63902617,40901584.09638801,41844948.10661134
,,,,,,,,,,
,,,,,,,,,,
Structure du public selon le rythme de fréquentation (%),,,,,,,,,,
,,,,,,,,,,
,2015,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
habitués,38.14127853266584,35.246469704541674,34.99768112497152,31.049928254629823,30.79916695128304,46.956946363491184,26.571083996743422,28.155527722923374,25.92200664831754,27.89519260084331
dont : assidus,4.9715807036877475,4.223959406392869,3.784714162709802,3.1323253171905105,3.7624179991132887,6.655684674514147,3.007522738814446,3.9184522896492853,3.658363916254643,3.3308166578064498
          réguliers,33.169697828978094,31.02251029814881,31.212966962261724,27.917602937439312,27.036748952169752,40.301261688977036,23.563561257928974,24.237075433274093,22.2636427320629,24.56437594303686
occasionnels,61.858721467334156,64.75353029545832,65.0023188750285,68.95007174537018,69.20083304871696,53.043053636508816,73.42891600325659,71.84447227707663,74.07799335168247,72.10480739915668
total,100,100.0,100.00000000000003,100.0,100.0,100.0,100.0,100.00000000000001,100.00000000000001,100.0
,,,,,,,,,,
,,,,,,,,,,
Nombre d'entrées selon le rythme de fréquentation (millions),,,,,,,,,,
,,,,,,,,,,
,2015,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
habitués,,142999285.78552115,140349662.36031818,130963755.74049109,156899056.40830147,44766711.3998092,63784417.078073256,88332263.31459092,112011449.90420248,128588493.68113771
dont : assidus,nd,48981071.15280449,46456106.702086896,45193073.462625764,50665048.446143106,15034300.752489138,19836409.479356308,31777547.982407924,43258625.21749359,43978177.57459709
          réguliers,nd,94018214.63271667,93893555.65823127,85770682.27786532,106234007.96215838,29732410.647320062,43948007.598716944,56554715.33218299,68752824.68670888,84610316.1065406
occasionnels,nd,70205288.21447885,69063459.63968164,70249179.259509,56324585.59169857,20497002.600190807,31718156.92192675,63738764.6854091,68420424.09579784,52935756.31886247
total,nd,213204574.0,209413121.99999982,201212935.0000001,213223642.00000006,65263714.0,95502574.0,152071028.0,180431874.0000003,181524250.00000018
,,,,,,,,,,
,,,,,,,,,,
Structure des entrées selon le rythme de fréquentation (%),,,,,,,,,,
,,,,,,,,,,
,2015,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
habitués,nd,67.07139678228533,67.02047179274572,65.08714548619406,73.58426811239885,68.59357008062581,66.78816539339898,58.086188063771694,62.07963561039247,70.83819031404218
dont : assidus,nd,22.973743120916577,22.183952112650754,22.4603221769146,23.761459081607423,23.03623228137022,20.770549576345772,20.89651684501529,23.97504623683817,24.22716390487612
          réguliers,nd,44.09765366136876,44.836519680094966,42.62682330927946,49.822809030791426,45.557337799255585,46.01761581705321,37.1896712187564,38.1045893735543,46.61102640916605
occasionnels,nd,32.92860321771467,32.9795282072542,34.91285451380598,26.415731887601172,31.406429919374197,33.21183460660102,41.91381193622831,37.920364389607705,29.16180968595792
total,nd,100.0,99.99999999999991,100.00000000000004,100.00000000000001,100.0,100.0,100.0,100.0,100.0000000000001
"Source : CNC – Vertigo, enquête Cinexpert, spectateurs 12 derniers mois, 3 ans et plus.",,,,,,,,,,
